fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,tiene_matricula,m_confianza,mx1,my1,mx2,my2
494,COCHE,0.52,12,1294,324,1338,365,False,,,,,
494,COCHE,0.4,6,1364,322,1397,357,False,,,,,
494,COCHE,0.46,14,1057,315,1118,345,False,,,,,
494,COCHE,0.5,15,1385,324,1435,362,False,,,,,
495,PERSONA,0.45,8,624,275,671,411,False,,,,,
495,PERSONA,0.71,10,592,273,640,412,False,,,,,
495,COCHE,0.58,12,1294,324,1343,365,False,,,,,
495,COCHE,0.41,6,1363,322,1397,356,False,,,,,
495,COCHE,0.53,14,1058,315,1125,345,False,,,,,
495,COCHE,0.48,15,1386,324,1435,362,False,,,,,
496,PERSONA,0.52,8,629,276,673,412,False,,,,,
496,PERSONA,0.72,10,594,275,639,411,False,,,,,
496,COCHE,0.59,12,1293,324,1345,365,False,,,,,
496,COCHE,0.44,6,1362,322,1397,357,False,,,,,
496,COCHE,0.49,14,1058,316,1127,345,False,,,,,
496,COCHE,0.49,15,1386,324,1435,362,False,,,,,
497,PERSONA,0.53,8,632,276,675,412,False,,,,,
497,PERSONA,0.68,10,595,276,640,410,False,,,,,
497,COCHE,0.59,12,1291,324,1344,364,False,,,,,
497,COCHE,0.44,6,1361,322,1397,357,False,,,,,
497,COCHE,0.45,14,1060,315,1129,345,False,,,,,
497,COCHE,0.48,15,1386,324,1435,362,False,,,,,
498,PERSONA,0.65,8,632,278,677,412,False,,,,,
498,PERSONA,0.7,10,596,278,638,410,False,,,,,
498,COCHE,0.64,12,1290,324,1344,364,False,,,,,
498,COCHE,0.48,6,1359,323,1397,357,False,,,,,
498,COCHE,0.48,14,1062,315,1132,345,False,,,,,
498,COCHE,0.47,15,1385,324,1435,363,False,,,,,
499,PERSONA,0.65,8,634,276,678,411,False,,,,,
499,PERSONA,0.69,10,598,276,641,410,False,,,,,
499,COCHE,0.63,12,1290,323,1344,363,False,,,,,
499,COCHE,0.49,6,1358,323,1397,357,False,,,,,
499,COCHE,0.67,14,1064,315,1132,346,False,,,,,
499,COCHE,0.47,15,1385,324,1436,362,False,,,,,
500,PERSONA,0.68,8,634,275,680,412,False,,,,,
500,PERSONA,0.69,10,600,275,643,409,False,,,,,
500,COCHE,0.66,12,1290,322,1346,363,False,,,,,
500,COCHE,0.49,6,1358,323,1397,357,False,,,,,
500,COCHE,0.67,14,1065,316,1133,347,False,,,,,
500,COCHE,0.5,15,1385,324,1436,362,False,,,,,
501,PERSONA,0.67,8,636,274,682,411,False,,,,,
501,PERSONA,0.64,10,603,273,644,410,False,,,,,
501,COCHE,0.65,12,1289,321,1346,363,False,,,,,
501,COCHE,0.53,6,1357,323,1396,357,False,,,,,
501,COCHE,0.67,14,1066,316,1131,347,False,,,,,
501,COCHE,0.51,15,1385,324,1437,363,False,,,,,
502,PERSONA,0.64,8,639,274,683,410,False,,,,,
502,PERSONA,0.7,10,606,272,646,409,False,,,,,
502,COCHE,0.7,12,1289,321,1348,363,False,,,,,
502,COCHE,0.53,6,1357,323,1397,357,False,,,,,
502,COCHE,0.65,14,1068,315,1133,347,False,,,,,
502,COCHE,0.52,15,1385,324,1437,362,False,,,,,
503,PERSONA,0.7,8,640,276,685,410,False,,,,,
503,PERSONA,0.63,10,608,271,648,409,False,,,,,
503,COCHE,0.69,12,1288,322,1347,363,False,,,,,
503,COCHE,0.55,6,1358,323,1397,357,False,,,,,
503,COCHE,0.7,14,1070,314,1139,346,False,,,,,
503,COCHE,0.51,15,1385,324,1438,363,False,,,,,
504,PERSONA,0.69,8,642,278,686,411,False,,,,,
504,PERSONA,0.66,10,610,273,651,409,False,,,,,
504,COCHE,0.68,12,1288,323,1348,363,False,,,,,
504,COCHE,0.52,6,1359,323,1397,357,False,,,,,
504,COCHE,0.63,14,1072,313,1141,346,False,,,,,
504,COCHE,0.51,15,1385,324,1438,363,False,,,,,
505,PERSONA,0.69,8,645,281,688,409,False,,,,,
505,PERSONA,0.7,10,612,274,652,408,False,,,,,
505,COCHE,0.63,12,1287,322,1347,362,False,,,,,
505,COCHE,0.49,6,1360,323,1397,358,False,,,,,
505,COCHE,0.68,14,1074,313,1143,346,False,,,,,
505,COCHE,0.52,15,1385,324,1438,363,False,,,,,
506,PERSONA,0.71,8,648,282,690,408,False,,,,,
506,PERSONA,0.77,10,614,274,654,407,False,,,,,
506,COCHE,0.57,12,1286,321,1347,362,False,,,,,
506,COCHE,0.49,6,1360,323,1398,358,False,,,,,
506,COCHE,0.59,14,1079,313,1141,346,False,,,,,
506,COCHE,0.5,15,1384,324,1438,363,False,,,,,
507,PERSONA,0.4,8,649,280,691,407,False,,,,,
507,PERSONA,0.69,10,615,273,657,406,False,,,,,
507,COCHE,0.57,12,1285,321,1347,362,False,,,,,
507,COCHE,0.5,6,1360,323,1398,358,False,,,,,
507,COCHE,0.6,14,1081,313,1141,347,False,,,,,
507,COCHE,0.5,15,1384,324,1438,363,False,,,,,
508,PERSONA,0.43,8,653,281,692,408,False,,,,,
508,PERSONA,0.69,10,615,272,661,407,False,,,,,
508,COCHE,0.54,12,1285,321,1341,362,False,,,,,
508,COCHE,0.51,6,1360,323,1398,358,False,,,,,
508,COCHE,0.68,14,1078,313,1144,346,False,,,,,
508,COCHE,0.51,15,1384,324,1438,363,False,,,,,
509,PERSONA,0.26,8,654,282,695,406,False,,,,,
509,PERSONA,0.65,10,616,271,668,408,False,,,,,
509,COCHE,0.58,12,1285,321,1340,362,False,,,,,
509,COCHE,0.5,6,1361,323,1398,359,False,,,,,
509,COCHE,0.58,14,1078,313,1146,346,False,,,,,
509,COCHE,0.5,15,1384,324,1439,363,False,,,,,
510,PERSONA,0.41,8,657,283,696,398,False,,,,,
510,PERSONA,0.69,10,617,271,667,405,False,,,,,
510,COCHE,0.59,12,1284,321,1338,362,False,,,,,
510,COCHE,0.5,6,1362,323,1399,358,False,,,,,
510,COCHE,0.63,14,1077,313,1151,347,False,,,,,
510,COCHE,0.51,15,1384,324,1440,363,False,,,,,
511,PERSONA,0.52,8,657,283,697,397,False,,,,,
511,PERSONA,0.65,10,619,274,665,404,False,,,,,
511,COCHE,0.59,12,1283,321,1338,361,False,,,,,
511,COCHE,0.54,6,1362,323,1398,358,False,,,,,
511,COCHE,0.48,14,1082,312,1154,346,False,,,,,
511,COCHE,0.52,15,1383,324,1439,363,False,,,,,
512,PERSONA,0.56,8,657,284,698,399,False,,,,,
512,PERSONA,0.67,10,619,275,665,404,False,,,,,
512,COCHE,0.6,12,1283,321,1337,361,False,,,,,
512,COCHE,0.54,6,1364,323,1398,357,False,,,,,
512,COCHE,0.44,14,1087,311,1157,345,False,,,,,
512,COCHE,0.51,15,1383,324,1439,363,False,,,,,
513,PERSONA,0.55,8,658,281,698,403,False,,,,,
513,PERSONA,0.66,10,619,276,665,404,False,,,,,
513,COCHE,0.65,12,1282,321,1337,360,False,,,,,
513,COCHE,0.52,6,1365,323,1399,357,False,,,,,
513,COCHE,0.46,14,1089,312,1158,345,False,,,,,
513,COCHE,0.52,15,1383,324,1439,362,False,,,,,
514,PERSONA,0.52,8,656,280,697,404,False,,,,,
514,PERSONA,0.6,10,620,276,667,405,False,,,,,
514,COCHE,0.67,12,1282,320,1338,360,False,,,,,
514,COCHE,0.54,6,1366,323,1399,357,False,,,,,
514,COCHE,0.52,14,1091,312,1158,345,False,,,,,
514,COCHE,0.53,15,1382,324,1438,362,False,,,,,
515,PERSONA,0.51,8,658,275,698,406,False,,,,,
515,PERSONA,0.56,10,621,276,669,406,False,,,,,
515,COCHE,0.69,12,1282,319,1339,360,False,,,,,
515,COCHE,0.47,6,1368,322,1399,357,False,,,,,
515,COCHE,0.59,14,1093,312,1157,345,False,,,,,
515,COCHE,0.55,15,1382,324,1438,363,False,,,,,
516,PERSONA,0.47,8,656,275,699,407,False,,,,,
516,PERSONA,0.56,10,624,274,675,406,False,,,,,
516,COCHE,0.68,12,1281,319,1338,360,False,,,,,
516,COCHE,0.46,6,1369,322,1398,357,False,,,,,
516,COCHE,0.48,14,1094,312,1151,345,False,,,,,
516,COCHE,0.55,15,1382,324,1438,363,False,,,,,
517,PERSONA,0.45,8,660,274,701,407,False,,,,,
517,PERSONA,0.6,10,625,272,678,406,False,,,,,
517,COCHE,0.67,12,1281,320,1337,361,False,,,,,
517,COCHE,0.42,6,1370,323,1398,357,False,,,,,
517,COCHE,0.51,14,1096,312,1155,344,False,,,,,
517,COCHE,0.55,15,1381,324,1437,363,False,,,,,
518,PERSONA,0.49,8,655,273,702,408,False,,,,,
518,PERSONA,0.55,10,626,272,681,406,False,,,,,
518,COCHE,0.68,12,1281,320,1336,361,False,,,,,
518,COCHE,0.41,6,1370,323,1397,357,False,,,,,
518,COCHE,0.49,14,1098,311,1156,344,False,,,,,
518,COCHE,0.56,15,1380,324,1437,363,False,,,,,
519,PERSONA,0.23,8,656,276,702,406,False,,,,,
519,PERSONA,0.62,10,627,274,681,404,False,,,,,
519,COCHE,0.65,12,1281,320,1336,361,False,,,,,
519,COCHE,0.44,6,1369,323,1397,357,False,,,,,
519,COCHE,0.56,14,1100,311,1162,345,False,,,,,
519,COCHE,0.56,15,1380,325,1438,363,False,,,,,
520,PERSONA,0.43,8,667,281,706,403,False,,,,,
520,PERSONA,0.64,10,629,274,679,404,False,,,,,
520,COCHE,0.62,12,1281,320,1337,360,False,,,,,
520,COCHE,0.47,6,1369,323,1398,357,False,,,,,
520,COCHE,0.54,14,1102,311,1165,345,False,,,,,
520,COCHE,0.55,15,1380,324,1437,362,False,,,,,
521,PERSONA,0.68,8,669,275,708,404,False,,,,,
521,PERSONA,0.69,10,630,272,679,405,False,,,,,
521,COCHE,0.57,12,1281,320,1334,359,False,,,,,
521,COCHE,0.5,6,1366,323,1398,357,False,,,,,
521,COCHE,0.47,14,1104,311,1168,346,False,,,,,
521,COCHE,0.55,15,1381,325,1438,362,False,,,,,
522,PERSONA,0.68,8,670,272,710,406,False,,,,,
522,PERSONA,0.59,10,632,271,678,405,False,,,,,
522,COCHE,0.54,12,1280,320,1332,359,False,,,,,
522,COCHE,0.4,6,1368,323,1397,357,False,,,,,
522,COCHE,0.45,14,1105,311,1166,345,False,,,,,
522,COCHE,0.55,15,1381,325,1437,362,False,,,,,
523,PERSONA,0.72,8,671,274,711,405,False,,,,,
523,PERSONA,0.68,10,633,272,679,405,False,,,,,
523,COCHE,0.55,12,1280,320,1333,359,False,,,,,
523,COCHE,0.41,6,1370,323,1399,357,False,,,,,
523,COCHE,0.4,14,1105,311,1161,346,False,,,,,
523,COCHE,0.55,15,1380,325,1437,362,False,,,,,
524,PERSONA,0.64,8,672,281,711,405,False,,,,,
524,PERSONA,0.67,10,636,273,679,405,False,,,,,
524,COCHE,0.49,12,1279,321,1328,358,False,,,,,
524,COCHE,0.42,6,1370,323,1398,357,False,,,,,
524,COCHE,0.38,14,1105,310,1170,346,False,,,,,
524,COCHE,0.55,15,1381,325,1437,362,False,,,,,
525,PERSONA,0.59,8,674,279,713,404,False,,,,,
525,PERSONA,0.68,10,638,273,680,404,False,,,,,
525,COCHE,0.39,12,1278,321,1322,358,False,,,,,
525,COCHE,0.41,6,1371,323,1398,357,False,,,,,
525,COCHE,0.38,14,1105,310,1174,347,False,,,,,
525,COCHE,0.54,15,1380,325,1436,362,False,,,,,
526,PERSONA,0.52,8,676,283,715,404,False,,,,,
526,PERSONA,0.66,10,639,275,682,403,False,,,,,
526,COCHE,0.37,12,1277,320,1319,357,False,,,,,
526,COCHE,0.41,6,1372,323,1399,357,False,,,,,
526,COCHE,0.51,14,1111,313,1177,346,False,,,,,
526,COCHE,0.54,15,1380,325,1436,362,False,,,,,
527,PERSONA,0.28,8,680,284,716,400,False,,,,,
527,PERSONA,0.7,10,640,277,685,403,False,,,,,
527,COCHE,0.39,12,1276,320,1319,357,False,,,,,
527,COCHE,0.4,6,1372,323,1399,357,False,,,,,
527,COCHE,0.52,14,1119,314,1178,345,False,,,,,
527,COCHE,0.53,15,1381,325,1436,362,False,,,,,
528,PERSONA,0.51,8,682,282,718,400,False,,,,,
528,PERSONA,0.76,10,642,278,686,404,False,,,,,
528,COCHE,0.39,12,1275,319,1319,356,False,,,,,
528,COCHE,0.43,6,1372,322,1400,357,False,,,,,
528,COCHE,0.51,14,1116,313,1178,344,False,,,,,
528,COCHE,0.54,15,1381,325,1436,362,False,,,,,
529,PERSONA,0.51,8,683,283,720,400,False,,,,,
529,PERSONA,0.72,10,644,278,686,404,False,,,,,
529,COCHE,0.41,12,1275,318,1317,356,False,,,,,
529,COCHE,0.47,6,1371,322,1401,357,False,,,,,
529,COCHE,0.54,14,1116,311,1178,344,False,,,,,
529,COCHE,0.54,15,1380,324,1437,362,False,,,,,
530,PERSONA,0.51,8,683,284,722,401,False,,,,,
530,PERSONA,0.73,10,645,280,688,403,False,,,,,
530,COCHE,0.35,12,1274,318,1313,353,False,,,,,
530,COCHE,0.47,6,1370,321,1402,357,False,,,,,
530,COCHE,0.64,14,1114,311,1179,346,False,,,,,
530,COCHE,0.54,15,1380,324,1437,362,False,,,,,
531,PERSONA,0.56,8,684,283,723,401,False,,,,,
531,PERSONA,0.71,10,647,281,689,404,False,,,,,
531,COCHE,0.31,12,1274,317,1311,352,False,,,,,
531,COCHE,0.49,6,1370,321,1403,357,False,,,,,
531,COCHE,0.61,14,1116,311,1179,346,False,,,,,
531,COCHE,0.54,15,1380,324,1438,362,False,,,,,
532,PERSONA,0.62,8,685,282,724,401,False,,,,,
532,PERSONA,0.7,10,648,279,690,403,False,,,,,
532,COCHE,0.35,12,1274,316,1311,352,False,,,,,
532,COCHE,0.53,6,1370,322,1402,357,False,,,,,
532,COCHE,0.6,14,1117,311,1179,346,False,,,,,
532,COCHE,0.54,15,1380,324,1437,361,False,,,,,
533,PERSONA,0.57,8,686,284,725,401,False,,,,,
533,PERSONA,0.71,10,649,276,692,402,False,,,,,
533,COCHE,0.4,12,1274,316,1310,352,False,,,,,
533,COCHE,0.5,6,1371,322,1403,357,False,,,,,
533,COCHE,0.57,14,1122,313,1179,345,False,,,,,
533,COCHE,0.54,15,1380,324,1437,361,False,,,,,
534,PERSONA,0.59,8,688,282,727,402,False,,,,,
534,PERSONA,0.69,10,650,274,693,400,False,,,,,
534,COCHE,0.44,12,1273,316,1312,353,False,,,,,
534,COCHE,0.5,6,1371,322,1402,357,False,,,,,
534,COCHE,0.59,14,1124,313,1179,345,False,,,,,
534,COCHE,0.54,15,1380,324,1437,361,False,,,,,
535,PERSONA,0.61,8,691,281,729,400,False,,,,,
535,PERSONA,0.69,10,650,273,695,401,False,,,,,
535,COCHE,0.51,12,1272,316,1314,353,False,,,,,
535,COCHE,0.51,6,1372,323,1401,357,False,,,,,
535,COCHE,0.55,14,1124,313,1180,345,False,,,,,
535,COCHE,0.53,15,1381,324,1436,361,False,,,,,
536,PERSONA,0.41,8,694,281,730,401,False,,,,,
536,PERSONA,0.62,10,651,271,697,401,False,,,,,
536,COCHE,0.49,12,1272,317,1313,353,False,,,,,
536,COCHE,0.53,6,1371,323,1400,357,False,,,,,
536,COCHE,0.52,14,1125,313,1180,345,False,,,,,
536,COCHE,0.52,15,1381,324,1436,361,False,,,,,
537,PERSONA,0.5,8,693,278,731,400,False,,,,,
537,PERSONA,0.48,10,653,271,697,401,False,,,,,
537,COCHE,0.51,12,1271,317,1313,354,False,,,,,
537,COCHE,0.56,6,1371,322,1400,357,False,,,,,
537,COCHE,0.46,14,1129,314,1180,344,False,,,,,
537,COCHE,0.5,15,1381,324,1436,361,False,,,,,
537,COCHE,0.61,16,1343,321,1381,353,False,,,,,
538,PERSONA,0.58,8,692,275,732,399,False,,,,,
538,PERSONA,0.56,10,654,271,698,400,False,,,,,
538,COCHE,0.52,12,1269,317,1313,354,False,,,,,
538,COCHE,0.57,6,1370,322,1400,357,False,,,,,
538,COCHE,0.5,14,1130,314,1181,344,False,,,,,
538,COCHE,0.5,15,1382,324,1436,361,False,,,,,
538,COCHE,0.61,16,1343,321,1381,353,False,,,,,
539,PERSONA,0.55,8,694,277,732,399,False,,,,,
539,PERSONA,0.52,10,655,271,699,400,False,,,,,
539,COCHE,0.52,12,1268,317,1311,354,False,,,,,
539,COCHE,0.55,6,1369,322,1399,357,False,,,,,
539,COCHE,0.52,14,1130,314,1183,345,False,,,,,
539,COCHE,0.49,15,1382,324,1436,361,False,,,,,
539,COCHE,0.58,16,1343,321,1380,353,False,,,,,
540,PERSONA,0.54,8,694,283,733,402,False,,,,,
540,PERSONA,0.47,10,657,274,699,401,False,,,,,
540,COCHE,0.53,12,1267,317,1310,354,False,,,,,
540,COCHE,0.57,6,1367,322,1399,357,False,,,,,
540,COCHE,0.49,14,1131,314,1184,346,False,,,,,
540,COCHE,0.49,15,1383,324,1437,361,False,,,,,
540,COCHE,0.59,16,1343,321,1381,352,False,,,,,
541,PERSONA,0.61,8,694,285,734,403,False,,,,,
541,PERSONA,0.48,10,661,277,700,401,False,,,,,
541,COCHE,0.52,12,1265,317,1310,354,False,,,,,
541,COCHE,0.57,6,1363,322,1398,356,False,,,,,
541,COCHE,0.46,14,1131,313,1185,346,False,,,,,
541,COCHE,0.51,15,1383,324,1438,361,False,,,,,
541,COCHE,0.59,16,1343,321,1383,352,False,,,,,
542,PERSONA,0.64,8,694,285,735,404,False,,,,,
542,PERSONA,0.47,10,662,278,701,401,False,,,,,
542,COCHE,0.49,12,1265,317,1309,354,False,,,,,
542,COCHE,0.56,6,1361,322,1397,356,False,,,,,
542,COCHE,0.51,14,1131,312,1185,346,False,,,,,
542,COCHE,0.5,15,1383,324,1438,361,False,,,,,
542,COCHE,0.6,16,1343,321,1383,352,False,,,,,
543,PERSONA,0.6,8,694,287,735,404,False,,,,,
543,PERSONA,0.43,10,663,282,701,401,False,,,,,
543,COCHE,0.47,12,1266,317,1309,353,False,,,,,
543,COCHE,0.58,6,1360,322,1398,356,False,,,,,
543,COCHE,0.56,14,1131,312,1186,346,False,,,,,
543,COCHE,0.51,15,1384,324,1438,361,False,,,,,
543,COCHE,0.59,16,1343,321,1383,352,False,,,,,
544,PERSONA,0.52,8,695,289,736,404,False,,,,,
544,PERSONA,0.39,10,664,285,702,402,False,,,,,
544,COCHE,0.41,12,1265,317,1308,352,False,,,,,
544,COCHE,0.57,6,1361,322,1398,356,False,,,,,
544,COCHE,0.61,14,1131,312,1187,346,False,,,,,
544,COCHE,0.51,15,1383,324,1437,361,False,,,,,
544,COCHE,0.59,16,1343,321,1383,352,False,,,,,
545,PERSONA,0.35,8,696,287,736,404,False,,,,,
545,PERSONA,0.46,10,664,285,706,401,False,,,,,
545,COCHE,0.42,12,1265,317,1308,351,False,,,,,
545,COCHE,0.57,6,1361,322,1398,356,False,,,,,
545,COCHE,0.64,14,1132,312,1188,346,False,,,,,
545,COCHE,0.51,15,1384,324,1436,361,False,,,,,
545,COCHE,0.58,16,1343,321,1384,352,False,,,,,
546,PERSONA,0.37,8,701,289,738,401,False,,,,,
546,PERSONA,0.51,10,664,286,710,400,False,,,,,
546,COCHE,0.39,12,1264,317,1306,351,False,,,,,
546,COCHE,0.56,6,1363,322,1398,356,False,,,,,
546,COCHE,0.66,14,1133,312,1189,346,False,,,,,
546,COCHE,0.51,15,1384,324,1436,361,False,,,,,
546,COCHE,0.57,16,1343,321,1383,352,False,,,,,
547,PERSONA,0.44,8,704,287,740,395,False,,,,,
547,PERSONA,0.52,10,666,285,712,399,False,,,,,
547,COCHE,0.38,12,1264,317,1303,349,False,,,,,
547,COCHE,0.56,6,1364,322,1398,356,False,,,,,
547,COCHE,0.63,14,1135,312,1190,346,False,,,,,
547,COCHE,0.53,15,1383,324,1436,361,False,,,,,
547,COCHE,0.58,16,1343,321,1382,352,False,,,,,
548,PERSONA,0.47,8,706,288,741,397,False,,,,,
548,PERSONA,0.52,10,667,286,712,398,False,,,,,
548,COCHE,0.38,12,1264,317,1301,349,False,,,,,
548,COCHE,0.55,6,1365,322,1397,356,False,,,,,
548,COCHE,0.63,14,1137,313,1190,346,False,,,,,
548,COCHE,0.53,15,1383,324,1437,361,False,,,,,
548,COCHE,0.59,16,1343,321,1382,352,False,,,,,
549,PERSONA,0.53,8,706,287,741,394,False,,,,,
549,PERSONA,0.53,10,667,285,713,397,False,,,,,
549,COCHE,0.35,12,1264,317,1300,349,False,,,,,
549,COCHE,0.55,6,1364,322,1397,356,False,,,,,
549,COCHE,0.69,14,1139,313,1190,345,False,,,,,
549,COCHE,0.52,15,1384,324,1437,361,False,,,,,
549,COCHE,0.57,16,1343,321,1382,352,False,,,,,
550,PERSONA,0.58,8,706,286,743,399,False,,,,,
550,PERSONA,0.63,10,668,284,711,397,False,,,,,
550,COCHE,0.33,12,1261,317,1300,350,False,,,,,
550,COCHE,0.53,6,1362,322,1397,356,False,,,,,
550,COCHE,0.69,14,1141,313,1190,345,False,,,,,
550,COCHE,0.52,15,1384,324,1437,361,False,,,,,
550,COCHE,0.59,16,1343,321,1383,352,False,,,,,
551,PERSONA,0.53,8,706,287,745,401,False,,,,,
551,PERSONA,0.58,10,669,285,712,396,False,,,,,
551,COCHE,0.32,12,1259,317,1299,350,False,,,,,
551,COCHE,0.53,6,1363,322,1397,357,False,,,,,
551,COCHE,0.67,14,1142,313,1190,345,False,,,,,
551,COCHE,0.52,15,1384,324,1437,361,False,,,,,
551,COCHE,0.57,16,1343,321,1383,353,False,,,,,
552,PERSONA,0.57,8,707,286,747,403,False,,,,,
552,PERSONA,0.62,10,671,285,713,397,False,,,,,
552,COCHE,0.3,12,1258,317,1297,349,False,,,,,
552,COCHE,0.54,6,1363,322,1397,357,False,,,,,
552,COCHE,0.68,14,1143,312,1190,345,False,,,,,
552,COCHE,0.51,15,1384,324,1437,362,False,,,,,
552,COCHE,0.58,16,1343,321,1384,353,False,,,,,
553,PERSONA,0.63,8,708,285,749,404,False,,,,,
553,PERSONA,0.64,10,672,284,714,397,False,,,,,
553,COCHE,0.39,12,1258,318,1298,349,False,,,,,
553,COCHE,0.55,6,1363,323,1397,357,False,,,,,
553,COCHE,0.63,14,1142,312,1190,345,False,,,,,
553,COCHE,0.49,15,1384,325,1436,361,False,,,,,
553,COCHE,0.58,16,1343,321,1384,353,False,,,,,
554,PERSONA,0.6,8,710,286,750,403,False,,,,,
554,PERSONA,0.69,10,672,284,715,397,False,,,,,
554,COCHE,0.34,12,1257,317,1297,349,False,,,,,
554,COCHE,0.54,6,1361,323,1397,357,False,,,,,
554,COCHE,0.64,14,1142,313,1190,345,False,,,,,
554,COCHE,0.5,15,1384,325,1436,361,False,,,,,
554,COCHE,0.6,16,1343,321,1384,353,False,,,,,
555,PERSONA,0.56,8,711,287,752,404,False,,,,,
555,PERSONA,0.66,10,673,284,716,397,False,,,,,
555,COCHE,0.33,12,1256,318,1296,349,False,,,,,
555,COCHE,0.54,6,1360,323,1397,357,False,,,,,
555,COCHE,0.63,14,1142,313,1189,345,False,,,,,
555,COCHE,0.5,15,1384,325,1436,361,False,,,,,
555,COCHE,0.6,16,1343,321,1384,353,False,,,,,
556,PERSONA,0.59,8,714,286,754,404,False,,,,,
556,PERSONA,0.73,10,675,283,717,398,False,,,,,
556,COCHE,0.32,12,1256,318,1295,349,False,,,,,
556,COCHE,0.55,6,1360,323,1397,357,False,,,,,
556,COCHE,0.62,14,1142,313,1189,345,False,,,,,
556,COCHE,0.51,15,1384,324,1438,362,False,,,,,
556,COCHE,0.61,16,1343,321,1384,353,False,,,,,
557,PERSONA,0.62,8,715,287,756,405,False,,,,,
557,PERSONA,0.76,10,676,283,720,399,False,,,,,
557,COCHE,0.29,12,1256,318,1294,349,False,,,,,
557,COCHE,0.55,6,1359,323,1397,357,False,,,,,
557,COCHE,0.61,14,1142,313,1189,345,False,,,,,
557,COCHE,0.51,15,1384,324,1439,362,False,,,,,
557,COCHE,0.6,16,1343,321,1384,353,False,,,,,
558,PERSONA,0.72,8,716,285,757,404,False,,,,,
558,PERSONA,0.81,10,679,282,722,401,False,,,,,
558,COCHE,0.3,12,1256,318,1295,350,False,,,,,
558,COCHE,0.55,6,1360,323,1397,357,False,,,,,
558,COCHE,0.59,14,1141,312,1189,344,False,,,,,
558,COCHE,0.51,15,1384,324,1438,362,False,,,,,
558,COCHE,0.61,16,1343,321,1384,352,False,,,,,
559,PERSONA,0.69,8,717,283,758,405,False,,,,,
559,PERSONA,0.79,10,681,282,723,401,False,,,,,
559,COCHE,0.26,12,1257,318,1295,349,False,,,,,
559,COCHE,0.57,6,1360,322,1397,357,False,,,,,
559,COCHE,0.6,14,1142,313,1190,344,False,,,,,
559,COCHE,0.51,15,1384,324,1438,361,False,,,,,
559,COCHE,0.61,16,1343,321,1385,352,False,,,,,
560,PERSONA,0.73,8,718,282,759,405,False,,,,,
560,PERSONA,0.8,10,683,281,724,400,False,,,,,
560,COCHE,0.25,12,1259,318,1295,349,False,,,,,
560,COCHE,0.55,6,1361,322,1397,357,False,,,,,
560,COCHE,0.58,14,1144,313,1190,345,False,,,,,
560,COCHE,0.5,15,1384,324,1437,361,False,,,,,
560,COCHE,0.61,16,1343,321,1385,352,False,,,,,
561,PERSONA,0.72,8,719,282,759,403,False,,,,,
561,PERSONA,0.77,10,684,280,725,399,False,,,,,
561,COCHE,0.21,12,1264,318,1296,349,False,,,,,
561,COCHE,0.55,6,1362,323,1397,357,False,,,,,
561,COCHE,0.59,14,1144,314,1190,345,False,,,,,
561,COCHE,0.5,15,1383,324,1436,361,False,,,,,
561,COCHE,0.59,16,1343,321,1384,352,False,,,,,
562,PERSONA,0.73,8,719,280,759,405,False,,,,,
562,PERSONA,0.76,10,686,280,726,399,False,,,,,
562,COCHE,0.23,12,1265,318,1297,348,False,,,,,
562,COCHE,0.55,6,1362,323,1398,357,False,,,,,
562,COCHE,0.6,14,1145,314,1190,345,False,,,,,
562,COCHE,0.5,15,1383,324,1436,361,False,,,,,
562,COCHE,0.59,16,1343,321,1385,352,False,,,,,
563,PERSONA,0.37,8,724,278,760,404,False,,,,,
563,PERSONA,0.79,10,687,281,729,398,False,,,,,
563,COCHE,0.2,12,1267,318,1298,349,False,,,,,
563,COCHE,0.55,6,1362,323,1397,357,False,,,,,
563,COCHE,0.58,14,1146,314,1190,345,False,,,,,
563,COCHE,0.5,15,1383,325,1436,361,False,,,,,
563,COCHE,0.58,16,1343,321,1384,352,False,,,,,
564,PERSONA,0.42,8,726,279,761,404,False,,,,,
564,PERSONA,0.76,10,688,282,730,397,False,,,,,
564,COCHE,0.2,12,1266,318,1297,349,False,,,,,
564,COCHE,0.54,6,1363,323,1397,357,False,,,,,
564,COCHE,0.59,14,1146,314,1190,345,False,,,,,
564,COCHE,0.5,15,1383,325,1436,361,False,,,,,
564,COCHE,0.58,16,1343,321,1384,352,False,,,,,
565,PERSONA,0.45,8,726,279,762,402,False,,,,,
565,PERSONA,0.76,10,688,282,731,396,False,,,,,
565,COCHE,0.22,12,1262,317,1297,349,False,,,,,
565,COCHE,0.55,6,1363,322,1397,357,False,,,,,
565,COCHE,0.64,14,1145,314,1190,346,False,,,,,
565,COCHE,0.5,15,1383,324,1436,361,False,,,,,
565,COCHE,0.56,16,1343,321,1384,352,False,,,,,
566,PERSONA,0.47,8,728,279,762,393,False,,,,,
566,PERSONA,0.77,10,689,282,732,395,False,,,,,
566,COCHE,0.25,12,1258,316,1299,350,False,,,,,
566,COCHE,0.55,6,1364,323,1397,357,False,,,,,
566,COCHE,0.65,14,1145,314,1190,346,False,,,,,
566,COCHE,0.51,15,1383,325,1435,361,False,,,,,
566,COCHE,0.56,16,1343,321,1384,352,False,,,,,
567,PERSONA,0.49,8,727,282,763,395,False,,,,,
567,PERSONA,0.76,10,690,282,732,395,False,,,,,
567,COCHE,0.29,12,1255,316,1301,350,False,,,,,
